group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection,cohort
96:145288,96,80,145288,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1651.25,True,False,True,True,False,False,E1_added
97:155810,97,80,155810,hotpotqa,8,8,False,True,False,1.0,2.25,2.25,2.0,3.0,1.0,2.25,3.25,1682.75,True,False,True,True,False,False,E1_added
99:147163,99,80,147163,hotpotqa,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1320.0,False,True,True,False,False,True,GAP_displaced
99:14669,99,80,14669,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1382.125,False,True,True,False,False,True,GAP_displaced
100:24573,100,81,24573,nq,8,8,False,True,False,1.0,3.75,3.75,2.0,4.0,2.0,3.75,4.75,1986.125,True,False,True,True,False,False,E1_added
101:143226,101,81,143226,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1461.125,True,False,True,True,False,False,E1_added
102:142188,102,81,142188,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.0,2.375,1310.0,True,False,True,True,False,False,E1_added
104:17568,104,81,17568,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1531.625,True,False,True,True,False,False,E1_added
106:161108,106,81,161108,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,2.0,3.0,1.0,2.125,3.125,1374.25,True,False,True,True,False,False,E1_added
107:29328,107,82,29328,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,1.25,2.25,858.25,True,False,True,True,False,False,E1_added
108:151819,108,82,151819,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1821.0,True,False,True,True,False,False,E1_added
111:124181,111,82,124181,hotpotqa,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1041.875,True,False,True,True,False,False,E1_added
114:39663,114,82,39663,nq,8,8,False,True,False,1.0,3.875,3.875,2.0,5.0,3.0,3.875,4.875,2204.5,True,False,True,True,False,False,E1_added
117:145328,117,83,145328,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1343.5,True,False,True,True,False,False,E1_added
117:73099,117,83,73099,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,1.75,2.75,1241.25,True,False,True,True,False,False,E1_added
117:45257,117,83,45257,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1285.625,True,False,True,True,False,False,E1_added
118:39068,118,83,39068,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,1.625,2.25,1070.0,True,False,True,True,False,False,E1_added
123:55112,123,83,55112,nq,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1493.25,True,False,True,True,False,False,E1_added
123:60303,123,83,60303,nq,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1749.875,True,False,True,True,False,False,E1_added
126:87691,126,83,87691,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.0,2.75,1229.75,True,False,True,True,False,False,E1_added
127:53274,127,83,53274,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1448.625,True,False,True,True,False,False,E1_added
127:79902,127,83,79902,hotpotqa,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1382.625,False,True,True,False,False,True,GAP_displaced
127:35900,127,83,35900,nq,8,1,False,False,True,0.125,5.875,5.0,5.0,5.0,0.0,7.875,6.875,4815.0,False,True,True,False,False,True,GAP_displaced
127:1261,127,83,1261,nq,8,2,False,False,True,0.25,1.875,1.0,1.0,1.0,0.0,1.875,2.875,1317.125,False,True,True,False,False,True,GAP_displaced
128:137656,128,84,137656,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1659.75,True,False,True,True,False,False,E1_added
129:89801,129,84,89801,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,2.5,2.5,1606.0,True,False,True,True,False,False,E1_added
136:134563,136,84,134563,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1074.5,True,False,True,True,False,False,E1_added
138:16910,138,84,16910,nq,8,1,False,False,True,0.125,1.125,2.0,2.0,2.0,0.0,1.125,2.125,829.625,False,True,True,False,False,True,GAP_displaced
138:159909,138,84,159909,hotpotqa,8,2,False,False,True,0.25,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1950.875,False,True,True,False,False,True,GAP_displaced
139:128386,139,85,128386,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,3.625,2.875,1944.875,True,False,True,True,False,False,E1_added
140:57077,140,85,57077,nq,8,8,False,True,False,1.0,2.75,2.75,2.0,4.0,2.0,2.75,3.75,1706.375,True,False,True,True,False,False,E1_added
141:131387,141,85,131387,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,2.0,3.0,1.0,2.125,3.125,1423.75,True,False,True,True,False,False,E1_added
141:90691,141,85,90691,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.25,2.25,1419.75,True,False,True,True,False,False,E1_added
142:139400,142,85,139400,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1754.625,True,False,True,True,False,False,E1_added
145:142502,145,85,142502,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1796.125,True,False,True,True,False,False,E1_added
145:90013,145,85,90013,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.0,2.875,1252.625,True,False,True,True,False,False,E1_added
145:53397,145,85,53397,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1190.75,False,True,True,False,False,True,GAP_displaced
145:51886,145,85,51886,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1798.375,False,True,True,False,False,True,GAP_displaced
147:157834,147,86,157834,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,1088.0,True,False,True,True,False,False,E1_added
148:151732,148,86,151732,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,1.75,2.375,1160.0,True,False,True,True,False,False,E1_added
