group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
147:157834,147,86,1,157834,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,1088.0,2.125,True,188984,True,E1_added
148:151732,148,86,2,151732,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,1.75,1.75,1160.0,2.375,True,190672,True,E1_added
148:166162,148,86,2,166162,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1488.625,3.375,True,190688,True,E1_added
149:133086,149,86,3,133086,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1371.375,2.125,True,191464,True,E1_added
151:127397,151,86,5,127397,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.875,2.875,3.875,3.875,2365.875,3.875,True,193480,True,E1_added
153:133738,153,86,7,133738,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1241.25,2.875,True,196144,True,E1_added
154:58265,154,86,8,58265,nq,8,3,False,False,True,0.375,0.0,3.0,3.0,3.0,3.0,3.625,3.0,2068.0,4.0,False,198320,False,GAP_displaced
155:125490,155,87,0,125490,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1335.875,2.125,True,198704,True,E1_added
155:100113,155,87,0,100113,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.0,2.0,1287.625,2.375,True,199592,True,E1_added
156:159485,156,87,1,159485,hotpotqa,8,8,False,True,False,1.0,1.0,3.0,4.0,3.125,3.125,3.125,3.125,1862.25,4.125,True,199952,True,E1_added
158:122008,158,87,3,122008,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,866.25,2.125,True,203192,True,E1_added
159:148703,159,87,4,148703,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1618.75,2.75,True,203816,True,E1_added
159:69662,159,87,4,69662,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.625,2.625,1579.875,2.625,True,204120,True,E1_added
161:164022,161,87,6,164022,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1123.25,2.75,True,206992,True,E1_added
162:96613,162,87,7,96613,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1634.0,2.375,True,207856,True,E1_added
163:152901,163,87,8,152901,hotpotqa,8,8,False,True,False,1.0,3.0,4.0,7.0,6.25,6.25,7.25,7.25,4294.25,7.25,True,208648,True,E1_added
165:15228,165,87,10,15228,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1124.0,2.5,True,211264,True,E1_added
165:80921,165,87,10,80921,hotpotqa,8,1,False,False,True,0.125,0.0,4.0,4.0,4.125,4.0,5.125,5.0,2458.5,5.125,False,211808,False,GAP_displaced
165:65930,165,87,10,65930,nq,8,1,False,False,True,0.125,0.0,1.0,1.0,1.875,1.0,1.875,1.0,1334.875,2.875,False,212184,False,GAP_displaced
