group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
0:74441,0,71,74441,nq,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1240.0,False,False,False,False,False,False
0:14499,0,71,14499,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1288.0,False,False,False,False,False,False
0:118101,0,71,118101,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1791.0,False,False,False,False,False,False
0:129990,0,71,129990,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1326.0,False,False,False,False,False,False
0:127911,0,71,127911,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1205.0,False,False,False,False,False,False
0:150268,0,71,150268,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1821.25,False,False,False,False,False,False
0:4462,0,71,4462,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,741.0,False,False,False,False,False,False
0:31733,0,71,31733,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,703.0,False,False,False,False,False,False
0:95493,0,71,95493,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1268.0,False,False,False,False,False,False
0:35116,0,71,35116,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,662.0,False,False,False,False,False,False
0:110865,0,71,110865,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1257.0,False,False,False,False,False,False
0:64973,0,71,64973,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,680.0,False,False,False,False,False,False
0:107945,0,71,107945,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1254.25,False,False,False,False,False,False
0:102349,0,71,102349,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1995.0,False,False,False,False,False,False
0:458,0,71,458,nq,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1300.0,False,False,False,False,False,False
0:163322,0,71,163322,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1305.0,False,False,False,False,False,False
0:150500,0,71,150500,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1280.0,False,False,False,False,False,False
0:156094,0,71,156094,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1281.0,False,False,False,False,False,False
0:85499,0,71,85499,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1385.75,False,False,False,False,False,False
0:18216,0,71,18216,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1098.0,False,False,False,False,False,False
0:113437,0,71,113437,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,700.0,False,False,False,False,False,False
0:154763,0,71,154763,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2351.125,False,False,False,False,False,False
0:67527,0,71,67527,nq,8,0,True,False,False,0.0,1.0,,,,0.0,3.0,2.0,1709.0,False,False,False,False,False,False
0:110289,0,71,110289,hotpotqa,8,8,False,True,False,1.0,3.0,3.0,3.0,3.0,0.0,4.0,4.0,2479.0,False,False,False,False,False,False
0:88300,0,71,88300,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1234.0,False,False,False,False,False,False
0:104143,0,71,104143,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1334.0,False,False,False,False,False,False
0:144616,0,71,144616,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1519.0,False,False,False,False,False,False
0:102998,0,71,102998,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1239.0,False,False,False,False,False,False
0:40779,0,71,40779,nq,8,0,True,False,False,0.0,1.0,,,,0.0,3.0,2.0,1594.25,False,False,False,False,False,False
0:38039,0,71,38039,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1187.0,False,False,False,False,False,False
0:123087,0,71,123087,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1307.0,False,False,False,False,False,False
0:71023,0,71,71023,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,725.0,False,False,False,False,False,False
0:20087,0,71,20087,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1294.0,False,False,False,False,False,False
0:12730,0,71,12730,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,807.0,False,False,False,False,False,False
0:70715,0,71,70715,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1737.0,False,False,False,False,False,False
