group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
38:168852,38,75,168852,hotpotqa,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1420.875,False,True,True,False,False,True
38:144832,38,75,144832,hotpotqa,8,4,False,False,True,0.5,2.375,2.0,2.0,2.0,0.0,3.375,3.375,2051.5,False,True,True,False,False,True
39:93060,39,75,93060,hotpotqa,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1342.0,False,True,True,False,False,True
39:113805,39,75,113805,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1233.0,False,True,True,False,False,True
39:20506,39,75,20506,nq,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1198.0,False,True,True,False,False,True
39:157900,39,75,157900,hotpotqa,8,5,False,False,True,0.625,7.0,7.0,7.0,7.0,0.0,7.0,8.0,4193.25,False,True,True,False,False,True
39:22201,39,75,22201,nq,8,5,False,False,True,0.625,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1745.875,False,True,True,False,False,True
39:55432,39,75,55432,nq,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1658.5,False,True,True,False,False,True
39:8953,39,75,8953,nq,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1647.5,False,True,True,False,False,True
39:124487,39,75,124487,hotpotqa,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1287.875,False,True,True,False,False,True
40:14178,40,75,14178,nq,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1271.5,False,True,True,False,False,True
41:134893,41,75,134893,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1275.5,False,True,True,False,False,True
41:92825,41,75,92825,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1333.75,False,True,True,False,False,True
41:8174,41,75,8174,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1273.5,False,True,True,False,False,True
42:92390,42,75,92390,hotpotqa,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1395.5,False,True,True,False,False,True
42:112462,42,75,112462,hotpotqa,8,7,False,False,True,0.875,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1844.875,False,True,True,False,False,True
42:17953,42,75,17953,nq,8,7,False,False,True,0.875,1.125,1.0,1.0,1.0,0.0,1.125,2.125,815.375,False,True,True,False,False,True
43:67573,43,75,67573,nq,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1250.0,False,True,True,False,False,True
43:113798,43,75,113798,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1327.375,False,True,True,False,False,True
43:54575,43,75,54575,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1383.375,False,True,True,False,False,True
44:124445,44,75,124445,hotpotqa,8,3,False,False,True,0.375,3.0,3.0,3.0,3.0,0.0,4.0,4.0,2564.0,False,True,True,False,False,True
44:2360,44,75,2360,nq,8,3,False,False,True,0.375,2.875,3.0,3.0,3.0,0.0,2.875,3.875,1672.875,False,True,True,False,False,True
44:113375,44,75,113375,hotpotqa,8,7,False,False,True,0.875,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1260.0,False,True,True,False,False,True
44:35711,44,75,35711,nq,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1149.375,False,True,True,False,False,True
45:22854,45,75,22854,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1185.375,False,True,True,False,False,True
45:89137,45,75,89137,hotpotqa,8,6,False,False,True,0.75,2.25,2.0,2.0,2.0,0.0,2.25,3.25,1415.75,False,True,True,False,False,True
46:85276,46,76,85276,hotpotqa,8,7,False,False,True,0.875,4.0,4.0,4.0,4.0,0.0,4.0,5.0,2017.875,False,True,True,False,False,True
46:106619,46,76,106619,hotpotqa,8,3,False,False,True,0.375,2.375,3.0,3.0,3.0,0.0,2.375,3.375,1521.75,False,True,True,False,False,True
46:46088,46,76,46088,nq,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1436.875,False,True,True,False,False,True
46:8592,46,76,8592,nq,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1450.75,False,True,True,False,False,True
47:78002,47,76,78002,nq,8,1,False,False,True,0.125,1.875,1.0,1.0,1.0,0.0,2.0,2.875,1397.125,False,True,True,False,False,True
